Restaurant ID,Restaurant Name,City,Address,Zone,Average Cost for two,Price range,Aggregate rating,Rating color,Rating text,Votes,Cuisines,Has Online delivery,Is delivering now,
3400025,Jahanpanah,Agra,"E 23, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",North central Zone,850,3,3.9,Yellow,Good,140,"French, Japanese, Desserts",No,No,
3400341,Rangrezz Restaurant,Agra,"E-20, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",North central Zone,700,2,3.5,Yellow,Good,71,Japanese,No,No,
3400005,Time2Eat - Mama Chicken,Agra,"Main Market, Sadar Bazaar, Agra Cantt, Agra",North central Zone,500,2,3.6,Yellow,Good,94,"Seafood, Asian, Filipino, Indian",No,No,
3400021,Chokho Jeeman Marwari Jain Bhojanalya,Agra,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra",North central Zone,400,2,4,Green,Very Good,87,"Japanese, Sushi",No,No,
3400017,Pinch Of Spice,Agra,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra",North central Zone,1000,3,4.2,Green,Very Good,177,"Japanese, Korean",No,No,
3400325,MoMo Cafe,Agra,"Courtyard by Marriott Agra, Phase 2, Fatehabad Road, Tajganj, Agra",North central Zone,2000,4,4,Green,Very Good,45,Chinese,No,No,
3400059,Peshawri - ITC Mughal,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra",North central Zone,2500,4,4.3,Green,Very Good,133,"Asian, European",No,No,
3400060,Taj Bano - ITC Mughal,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra",North central Zone,2500,4,4,Green,Very Good,41,"Seafood, Filipino, Asian, European",No,No,
3400348,G Thal,Agra,"3/20, KPS Tower, Near Tulsi Talkies, Bypass Road, Khandari, Agra",North central Zone,800,3,3.6,Yellow,Good,59,"European, Asian, Indian",No,No,
3400072,Dawat-e-Nawab - Radisson Blu,Agra,"Radisson Blu, Taj East Gate Road, Tajganj, Agra",North central Zone,3600,4,3.8,Yellow,Good,46,Filipino,No,No,
3400073,The Latitude - Radisson Blu,Agra,"Radisson Blu, Taj East Gate Road, Tajganj, Agra",North central Zone,0,1,3.9,Yellow,Good,103,"Filipino, Mexican",No,No,
3400019,Dasaprakash Restaurant,Agra,"Meher Cinema Complex, Gwalior Road, Rakabganj, Agra",North central Zone,550,2,4.1,Green,Very Good,121,"American, Ice Cream, Desserts",No,No,
3400033,The Charcoal Chimney,Agra,"Hotel Samovar, Fatehabad Road, Tajganj, Agra",North central Zone,1100,3,3.4,Orange,Average,70,"Filipino, Mexican",No,No,
3400346,Sheroes Hangout,Agra,"Opposite The Gateway Hotel, Fatehabad Road, Tajganj, Agra",North central Zone,0,1,4.9,Dark Green,Excellent,77,Filipino,No,No,
3400350,Bon Barbecue,Agra,"Parador Hotel, 3A-3B, Phase 1, Fatehabad Road, Taj Nagri, Tajganj, Agra",North central Zone,1500,4,3.8,Yellow,Good,57,Korean,No,No,
3400391,Chapter 1 Cafe,Agra,"1374 K/1375 K, 2nd floor, Dinesh Nagar, Fatehbad Road, Tajganj, Agra",North central Zone,0,1,3.9,Yellow,Good,98,"Cafe, American, Italian, Filipino",No,No,
3400016,Pind Balluchi,Agra,"Opposite Saga Emporium, Fatehabad Road, Tajganj, Agra",North central Zone,900,3,3.7,Yellow,Good,175,"Italian, Pizza",No,No,
3400105,Pizza Hut,Agra,"8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra",North central Zone,700,2,4.4,Green,Very Good,134,Filipino,No,No,
3400326,Tea'se Me - Rooftop Tea Boutique,Agra,"Near Purani Mandi Crossing,Fatehabad Road, Tajganj, Agra",North central Zone,1000,3,4.2,Green,Very Good,166,"Cafe, Korean, Desserts",No,No,
3400392,Thaaliwala,Agra,"Next To ITC Mughal Hotel, Fatehabad Road, Tajganj, Agra",North central Zone,700,2,4.1,Green,Very Good,168,"Cafe, Bakery, American, Italian",No,No,
111895,650 - The Global Kitchen,Ahmedabad,"Shreekunj Mandapam, Beside Golden Tulip Bunglows & Tulip Citadel, Manekbaug, Ambavadi, Ahmedabad",Western Zone,900,3,4.2,Green,Very Good,1582,"Seafood, American, Mediterranean, Japanese",No,No,
110502,Patang - The Revolving Restaurant,Ahmedabad,"Chinubhai Tower, Nehru Bridge Corner, Ashram Road, Ahmedabad",Western Zone,1800,4,3.7,Yellow,Good,1315,"American, Asian, Italian, Seafood",No,No,
18396250,Huber & Holly,Ahmedabad,"7 B, Circle  B, Opposite Rajpath Club, Sarkhej, Gandhinagar Highway, Bodakdev, Ahmedabad",Western Zone,300,1,4.5,Dark Green,Excellent,217,"Fast Food, French",No,No,
113702,@Mango,Ahmedabad,"Opposite Sindhu Bhawan, Bodakdev, Ahmedabad",Western Zone,800,3,4.1,Green,Very Good,769,Cafe,No,No,
113433,Fozzie's Pizzaiolo,Ahmedabad,"Ground Floor, Maruti Crystal, Opposite Rajpath Club, Service Road, Bodakdev, Ahmedabad",Western Zone,900,3,4.3,Green,Very Good,731,Bakery,No,No,
18438909,La Pino'z Pizza,Ahmedabad,"Shop 10,  Circle B, Nyay Marg, Bodakdev, Ahmedabad",Western Zone,500,2,4.4,Green,Very Good,113,Brazilian,No,No,
18143128,Mocha,Ahmedabad,"6-9, Ground Floor, Devashish Business Park, Opposite Krishna Complex, Bodakdev, Ahmedabad",Western Zone,1000,3,4.4,Green,Very Good,944,Pizza,No,No,
18438944,Blue -  Rooftop Cafe Restaurant Bistro,Ahmedabad,"10th Floor, Balaji Heights Buliding, Behind Tanishq Showroom, C G Road, Ahmedabad",Western Zone,1000,3,3.8,Yellow,Good,63,Japanese,No,No,
110436,MoMo Caf¡? - Courtyard By Marriott,Ahmedabad,"Courtyard By Marriott, Ramdevnagar Cross Road, Satellite, Ahmedabad",Western Zone,1400,3,3.6,Yellow,Good,375,Arabian,No,No,
18385201,Cryo Lab,Ahmedabad,"Ground Floor, Arjun Avenue, Opposite Samartheshwar Mahadev, Law Garden, Ahmedabad",Western Zone,350,2,4.6,Dark Green,Excellent,166,Japanese,No,No,
110395,Swati Snacks,Ahmedabad,"Near Law Garden, Ellis Bridge, Ahmedabad",Western Zone,450,2,4.4,Green,Very Good,697,"Brazilian, Cafe",No,No,
18335583,Brick Kitchen,Ahmedabad,"At Five Petals Hotel & Banquets, Near Chanakyapuri Bridge, Ghatlodia, Ahmedabad",Western Zone,900,3,4.3,Green,Very Good,325,Italian,No,No,
110237,Kabir Restaurant,Ahmedabad,"JB Tower, Opposite Doordarshan Kendra, Drive In Road, Gurukul, Ahmedabad",Western Zone,600,2,3.8,Yellow,Good,432,Pizza,No,No,
113537,Puffizza,Ahmedabad,"103, Kairos, Opposite Mahatma Gandhi Labour Institute, Drive In Road, Gurukul, Ahmedabad",Western Zone,700,2,4.3,Green,Very Good,744,"Bar Food, Brazilian",No,No,
113703,Cafe Alfresco,Ahmedabad,"101, Dynamic House, Vijay Cross Road, Above HDFC Bank, Opposite Child Care Hospital, Navrangpura, Ahmedabad",Western Zone,700,2,4,Green,Very Good,404,"Mexican, Grill",No,No,
18385186,The Cafe Baraco,Ahmedabad,"34, Shribhuvan Complex, Near Memnagar Fire Station, Navrangpura, Ahmedabad",Western Zone,600,2,4.4,Green,Very Good,317,International,No,No,
113325,Nini's Kitchen,Ahmedabad,"12, First Floor, Camps Corner 2, Opposite Prahlad Nagar Garden, Prahlad Nagar, Ahmedabad",Western Zone,950,3,4.5,Dark Green,Excellent,1138,"Peruvian, Latin American",No,No,
111826,Yanki Sizzlers,Ahmedabad,"4, Ground Floor, Binori Ambit, Next to Renault Showroom, Thaltej Circle, Thaltej, Ahmedabad",Western Zone,1200,3,4.1,Green,Very Good,1041,"American, Grill",No,No,
110516,The Garden Cafe - The Fern,Ahmedabad,"The Fern, Near Sola Overbridge, S G Highway, Sola, Ahmedabad",Western Zone,1200,3,4.1,Green,Very Good,192,Seafood,No,No,
18371341,Mazzo,Ahmedabad,"27, Sunshine Villa, Sunrise Park Society, Vastrapur, Ahmedabad",Western Zone,550,2,3.9,Yellow,Good,166,International,No,No,
113570,Turquoise Villa,Ahmedabad,"Ground Floor, Shanay - 1, Near AMA, IIM Road, Vastrapur, Ahmedabad",Western Zone,1200,3,4,Green,Very Good,535,Italian,No,No,
2400020,Aryan Family's Delight,Allahabad,"Ground Floor, Vinayak City Centre, Sardar Patel Marg, Civil Lines, Allahabad",North central Zone,500,3,3.4,Orange,Average,57,"American, Burger",No,No,
2400148,Bean Here,Allahabad,"Vinayak Pushp, 77 Elgin Road, Near Florista, Civil Lines, Allahabad",North central Zone,350,2,3.3,Orange,Average,76,"Seafood, Bar Food, Brazilian",No,No,
2400019,Bikanerwala,Allahabad,"2A, JMD Bhawan, Strachey Road, Civil Lines, Allahabad",North central Zone,500,3,3.2,Orange,Average,51,"Desserts, Cafe",No,No,
2400193,Dewsis,Allahabad,"2, MG Marg, Opposite Hanuman Mandir, Civil Lines, Allahabad",North central Zone,600,3,3.4,Orange,Average,99,"Juices, Healthy Food",No,No,
2400027,Friends Forever,Allahabad,"13/13, Sardar Patel Marg, Civil Lines, Allahabad",North central Zone,600,3,3.4,Orange,Average,83,"Beverages, Bar Food, Fast Food",No,No,
17960073,Hotel Ravisha Continental,Allahabad,"57 A, Purshottamdas Tandon Marg, Civil Lines, Allahabad",North central Zone,600,3,3.4,Orange,Average,18,Lebanese,No,No,
2400119,KFC,Allahabad,"P Square Mall, Civil Lines, Allahabad",North central Zone,500,3,3.4,Orange,Average,58,Burger,No,No,
2400014,McDonald's,Allahabad,"Shop 4, 34-B, M G Marg, Civil Lines, Allahabad",North central Zone,400,2,3.3,Orange,Average,53,"Brazilian, Bar Food",No,No,
2400403,Pind Balluchi,Allahabad,"5-A, Sardar Patel Marg, Civil Lines, Allahabad",North central Zone,800,3,3.2,Orange,Average,6,"Brazilian, Healthy Food, Juices, Pizza",No,No,
2400349,Pizza Hut,Allahabad,"31/31, Sardar Patel Marg, Civil Lines, Allahabad",North central Zone,700,3,3.4,Orange,Average,35,"Brazilian, Bar Food",No,No,
2400279,Subway,Allahabad,"207/53, Mahatma Gandhi Marg, Civil Lines, Allahabad",North central Zone,400,2,3.4,Orange,Average,32,Brazilian,No,No,
2400017,Tandoor Restaurant,Allahabad,"17/33, Mahatama Gandhi Marg, Civil Lines, Allahabad",North central Zone,500,3,3.2,Orange,Average,151,Brazilian,No,No,
18317988,The BrewMaster,Allahabad,"Near Vishal Megamart, Civil Lines, Allahabad",North central Zone,0,1,3.3,Orange,Average,49,Italian,No,No,
2400144,The Tamarind Tree,Allahabad,"60 C, Thornhill Road, Civil Lines, Allahabad",North central Zone,500,3,3.4,Orange,Average,106,Japanese,No,No,
2400195,Cafe El Chico,Allahabad,"24, Mahatma Gandhi, Civil Lines, Allahabad",North central Zone,1000,4,3.6,Yellow,Good,59,"Bakery, Sandwich, Brazilian",No,No,
2400052,Eat On,Allahabad,"Palace Compound, Near Palace Cinema, MG Marg, Civil Lines, Allahabad",North central Zone,200,1,3.7,Yellow,Good,105,Brazilian,No,No,
2400016,Hot Stuff,Allahabad,"21 C, Lal Bhadhur Shastri Marg, Civil Lines, Allahabad",North central Zone,500,3,3.5,Yellow,Good,105,"Brazilian, Seafood",No,No,
2400293,Paradise,Allahabad,"19/35, MG Marg, Civil Lines, Allahabad",North central Zone,500,3,3.6,Yellow,Good,57,"Bar Food, Brazilian",No,No,
